rank,domain,word1,tld,phrase_count,premium_likely,restricted
310,credit.loan,credit,loan,563604,0,0
311,third.day,third,day,563570,0,0
312,contemporary.art,contemporary,art,561140,0,0
313,single.one,single,one,560921,0,0
314,into.how,into,how,560663,1,0
315,travel.photos,travel,photos,560092,0,0
316,home.party,home,party,554684,0,0
317,inner.city,inner,city,552830,0,0
318,other.family,other,family,552483,0,0
319,other.property,other,property,552312,1,0
320,consumer.protection,consumer,protection,551144,1,0
321,binding.site,binding,site,550270,0,0
322,one.party,one,party,549420,0,0
323,modern.art,modern,art,547589,0,0
324,electronic.equipment,electronic,equipment,547215,0,0
325,low.graphics,low,graphics,546799,0,0
326,historical.data,historical,data,546675,1,0
327,long.day,long,day,545472,0,0
328,anyone.help,anyone,help,545359,0,0
329,company.mortgage,company,mortgage,545083,0,0
330,any.property,any,property,544244,1,0
331,full.support,full,support,543459,0,0
332,bad.faith,bad,faith,541998,0,0
333,personal.photos,personal,photos,540902,0,0
334,demonstrates.how,demonstrates,how,539289,1,0
335,time.data,time,data,538113,1,0
336,see.fit,see,fit,535831,0,0
337,credit.mortgage,credit,mortgage,535492,0,0
338,games.poker,games,poker,535067,0,0
339,new.property,new,property,535001,1,0
340,search.site,search,site,533463,0,0
341,computer.equipment,computer,equipment,531185,0,0
342,florist.shop,florist,shop,529957,0,0
343,jack.online,jack,online,529438,0,0
344,sex.party,sex,party,528272,0,0
345,child.protection,child,protection,526767,1,0
346,physical.properties,physical,properties,526549,0,0
347,new.equipment,new,equipment,526459,0,0
348,cash.loan,cash,loan,525433,0,0
349,really.work,really,work,525334,0,0
350,own.place,own,place,525332,0,0
351,current.market,current,market,524141,0,0
352,nursing.care,nursing,care,523488,0,0
353,provides.support,provides,support,523243,0,0
354,notebook.computer,notebook,computer,522657,0,0
355,extended.family,extended,family,520568,0,0
356,poker.video,poker,video,520267,0,0
357,current.forum,current,forum,519260,0,0
358,long.hair,long,hair,518696,0,0
359,him.how,him,how,518382,1,0
360,still.love,still,love,517107,0,0
361,same.bid,same,bid,516323,0,0
362,online.auction,online,auction,516185,0,0
363,dark.green,dark,green,515934,0,0
364,earlier.bid,earlier,bid,514214,0,0
365,optimization.services,optimization,services,513998,0,0
366,christian.faith,christian,faith,513832,0,0
367,performance.data,performance,data,512395,1,0
368,zip.codes,zip,codes,512305,0,0
369,television.show,television,show,511086,0,0
370,other.equipment,other,equipment,509592,0,0
371,naked.men,naked,men,509466,0,0
372,fire.safety,fire,safety,509164,1,0
373,download.video,download,video,508823,0,0
374,view.shopping,view,shopping,508781,0,0
375,arcade.game,arcade,game,508478,1,0
376,great.site,great,site,507231,0,0
377,loss.diet,loss,diet,505070,0,0
378,playing.cards,playing,cards,504759,0,0
379,prescription.online,prescription,online,504255,0,0
380,existing.data,existing,data,503305,1,0
381,prices.online,prices,online,502371,0,0
382,homepage.website,homepage,website,501565,0,0
383,considered.one,considered,one,499269,0,0
384,black.hair,black,hair,499249,0,0
385,file.menu,file,menu,498886,0,0
386,any.link,any,link,498124,0,0
387,unsecured.loan,unsecured,loan,497559,0,0
388,other.properties,other,properties,496980,0,0
389,server.hosting,server,hosting,496686,1,0
390,nude.black,nude,black,496029,0,0
391,card.credit,card,credit,494775,1,0
392,great.game,great,game,493698,1,0
393,editing.software,editing,software,492111,0,0
394,view.store,view,store,491173,0,0
395,vocational.education,vocational,education,491089,0,0
396,first.degree,first,degree,490810,0,0
397,parking.space,parking,space,490001,0,0
398,free.software,free,software,489867,0,0
399,bay.business,bay,business,489392,0,0
400,college.basketball,college,basketball,489332,1,0
401,translation.services,translation,services,488690,0,0
402,download.site,download,site,488482,0,0
403,largest.markets,largest,markets,488300,0,0
404,catering.holiday,catering,holiday,488254,0,0
405,comprehensive.guide,comprehensive,guide,488089,0,0
406,delivery.systems,delivery,systems,487536,0,0
407,hour.restaurant,hour,restaurant,486376,0,0
408,information.online,information,online,486293,0,0
409,sole.property,sole,property,484324,1,0
410,any.health,any,health,484106,1,0
411,social.events,social,events,482987,0,0
412,numerical.data,numerical,data,481981,1,0
413,postage.services,postage,services,481482,0,0
414,undergraduate.degree,undergraduate,degree,480844,0,0
415,many.men,many,men,480793,0,0
416,any.security,any,security,480566,1,0
417,collect.data,collect,data,478651,1,0
418,same.business,same,business,476395,0,0
